name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,lat,lon
COMBE D'AVRIEUX,,,,,FR,123,Hydro,Reservoir,,,45.21348,6.72053
CURBANS,,,,,FR,139,Hydro,Reservoir,,,44.42078,6.02016
MALGOVERT,,,,,FR,297,Hydro,Reservoir,,,45.61787,6.79074
MONTEYNARD,,,,,FR,366,Hydro,Reservoir,,,44.96118,5.68874
MONTPEZAT,,,,,FR,131.8,Hydro,Reservoir,,,44.69026,4.27215
ORAISON,,,,,FR,187,Hydro,Reservoir,,,43.92101,5.92438
PIED DE BORNE,,,,,FR,109.4,Hydro,Reservoir,,,44.47198,3.98867
POUGET,,,,,FR,446.9,Hydro,Reservoir,,,43.65604,3.40178
PRAGNERES,,,,,FR,189.2,Hydro,Reservoir,,,42.8211,0.01033
SAINT CHAMAS,,,,,FR,159,Hydro,Reservoir,,,43.52741,5.07342
SAINT ESTEVE,,,,,FR,141,Hydro,Reservoir,,,43.69049,5.38489
SAINT GUILLERME,,,,,FR,116,Hydro,Reservoir,,,45.03048,6.07914
SAINTE CROIX,,,,,FR,132.3,Hydro,Reservoir,,,43.73687,6.13423
SARRANS,,,,,FR,183,Hydro,Reservoir,,,44.82942,2.74042
SERRE PONCON,,,,,FR,384,Hydro,Reservoir,,,44.47095,6.26967
SISTERON,,,,,FR,240,Hydro,Reservoir,,2017,44.17517,5.95215
ST ETIENNE CANTALES,,,,,FR,103.3,Hydro,Reservoir,,2016,44.94516,2.21906
VILLARODIN,,,,,FR,357,Hydro,Reservoir,,,45.21466,6.71208
VOUGLANS,,,,,FR,285,Hydro,Reservoir,,,46.39734,5.66556
BELLEVILLE 1,,,,,FR,1310,Nuclear,Steam turbine,,,47.50879,2.87574
BELLEVILLE 2,,,,,FR,1310,Nuclear,Steam turbine,,,47.50879,2.87574
BLAYAIS 1,,,,,FR,910,Nuclear,Steam turbine,,,45.25742,-0.69065
BLAYAIS 2,,,,,FR,910,Nuclear,Steam turbine,,,45.25742,-0.69065
BLAYAIS 3,,,,,FR,910,Nuclear,Steam turbine,,,45.25742,-0.69065
BLAYAIS 4,,,,,FR,910,Nuclear,Steam turbine,,,45.25742,-0.69065
BUGEY 2,,,,,FR,910,Nuclear,Steam turbine,,,45.80141,5.26614
BUGEY 3,,,,,FR,910,Nuclear,Steam turbine,,,45.80141,5.26614
BUGEY 4,,,,,FR,880,Nuclear,Steam turbine,,,45.80141,5.26614
BUGEY 5,,,,,FR,880,Nuclear,Steam turbine,,,45.80141,5.26614
CATTENOM 1,,,,,FR,1300,Nuclear,Steam turbine,,,49.41579,6.2181
CATTENOM 2,,,,,FR,1300,Nuclear,Steam turbine,,,49.41579,6.2181
CATTENOM 3,,,,,FR,1300,Nuclear,Steam turbine,,,49.41579,6.2181
CATTENOM 4,,,,,FR,1300,Nuclear,Steam turbine,,,49.41579,6.2181
CHINON 1,,,,,FR,905,Nuclear,Steam turbine,,,47.22856,0.16824
CHINON 2,,,,,FR,905,Nuclear,Steam turbine,,,47.22856,0.16824
CHINON 3,,,,,FR,905,Nuclear,Steam turbine,,,47.22856,0.16824
CHINON 4,,,,,FR,905,Nuclear,Steam turbine,,,47.22856,0.16824
CHOOZ 1,,,,,FR,1500,Nuclear,Steam turbine,,,50.09136,4.79242
CHOOZ 2,,,,,FR,1500,Nuclear,Steam turbine,,,50.09136,4.79242
CIVAUX 1,,,,,FR,1495,Nuclear,Steam turbine,,,46.45614,0.6524
CIVAUX 2,,,,,FR,1495,Nuclear,Steam turbine,,,46.45614,0.6524
CRUAS 1,,,,,FR,915,Nuclear,Steam turbine,,,44.63251,4.75105
CRUAS 2,,,,,FR,915,Nuclear,Steam turbine,,,44.63251,4.75105
CRUAS 3,,,,,FR,915,Nuclear,Steam turbine,,,44.63251,4.75105
CRUAS 4,,,,,FR,915,Nuclear,Steam turbine,,,44.63251,4.75105
DAMPIERRE 1,,,,,FR,890,Nuclear,Steam turbine,,,47.73252,2.51772
DAMPIERRE 2,,,,,FR,890,Nuclear,Steam turbine,,,47.73252,2.51772
DAMPIERRE 3,,,,,FR,890,Nuclear,Steam turbine,,,47.73252,2.51772
DAMPIERRE 4,,,,,FR,890,Nuclear,Steam turbine,,,47.73252,2.51772
FESSENHEIM 1,,,,,FR,880,Nuclear,Steam turbine,,,47.90303,7.56308
FESSENHEIM 2,,,,,FR,880,Nuclear,Steam turbine,,,47.90303,7.56308
FLAMANVILLE 1,,,,,FR,1330,Nuclear,Steam turbine,,,49.53671,-1.88229
FLAMANVILLE 2,,,,,FR,1330,Nuclear,Steam turbine,,,49.53671,-1.88229
GOLFECH 1,,,,,FR,1310,Nuclear,Steam turbine,,,44.10479,0.84606
GOLFECH 2,,,,,FR,1310,Nuclear,Steam turbine,,,44.10479,0.84606
GRAVELINES 1,,,,,FR,910,Nuclear,Steam turbine,,,51.01267,2.13956
GRAVELINES 2,,,,,FR,910,Nuclear,Steam turbine,,,51.01267,2.13956
GRAVELINES 3,,,,,FR,910,Nuclear,Steam turbine,,,51.01267,2.13956
GRAVELINES 4,,,,,FR,910,Nuclear,Steam turbine,,,51.01267,2.13956
GRAVELINES 5,,,,,FR,910,Nuclear,Steam turbine,,,51.01267,2.13956
GRAVELINES 6,,,,,FR,910,Nuclear,Steam turbine,,,51.01267,2.13956
NOGENT 1,,,,,FR,1310,Nuclear,Steam turbine,,,48.5153,3.51776
NOGENT 2,,,,,FR,1310,Nuclear,Steam turbine,,,48.5153,3.51776
PALUEL 1,,,,,FR,1330,Nuclear,Steam turbine,,,49.85838,0.63449
PALUEL 2,,,,,FR,1330,Nuclear,Steam turbine,,,49.85838,0.63449
PALUEL 3,,,,,FR,1330,Nuclear,Steam turbine,,,49.85838,0.63449
PALUEL 4,,,,,FR,1330,Nuclear,Steam turbine,,,49.85838,0.63449
